old_id,new_id
BBEAR_00000264,PB.114.1
BBEAR_00000265,PB.115.1
BBEAR_00000266,PB.116.1
BBEAR_00000267,PB.117.1
BBEAR_00000268,PB.118.1
BBEAR_00000269,PB.119.1
BBEAR_00000270,PB.120.1
BBEAR_00000271,PB.121.1
BBEAR_00000272,PB.122.1
BBEAR_00000273,PB.123.1
BBEAR_00000274,PB.124.1
BBEAR_00000275,PB.125.1
BBEAR_00000276,PB.126.1
BBEAR_00000277,PB.127.1
BBEAR_00000278,PB.128.1
BBEAR_00000279,PB.129.1
BBEAR_00000280,PB.130.1
BBEAR_00000284,PB.130.2
BBEAR_00000286,PB.130.3
BBEAR_00000285,PB.130.4
BBEAR_00000283,PB.130.5
BBEAR_00000282,PB.130.6
BBEAR_00000281,PB.130.7
BBEAR_00000287,PB.131.1
BBEAR_00000288,PB.132.1
BBEAR_00002078,PB.133.1
BBEAR_00002079,PB.133.2
BBEAR_00002080,PB.133.3
BBEAR_00000290,PB.133.4
BBEAR_00002081,PB.133.5
BBEAR_00002082,PB.133.6
BBEAR_00002083,PB.133.7
BBEAR_00000289,PB.133.8
BBEAR_00002084,PB.133.9
BBEAR_00000291,PB.134.1
BBEAR_00002085,PB.134.2
BBEAR_00000293,PB.135.1
BBEAR_00000292,PB.135.2
BBEAR_00002086,PB.135.3
BBEAR_00002087,PB.135.4
BBEAR_00002088,PB.135.5
BBEAR_00002089,PB.135.6
BBEAR_00002090,PB.135.7
BBEAR_00002091,PB.135.8
BBEAR_00002092,PB.135.9
BBEAR_00002093,PB.135.10
BBEAR_00000294,PB.136.1
BBEAR_00000295,PB.137.1
BBEAR_00000296,PB.138.1
BBEAR_00000297,PB.139.1
BBEAR_00002094,PB.139.2
BBEAR_00002095,PB.139.3
BBEAR_00000298,PB.140.1
BBEAR_00002096,PB.140.2
BBEAR_00000299,PB.141.1
BBEAR_00000300,PB.142.1
BBEAR_00002097,PB.143.1
BBEAR_00000302,PB.143.2
BBEAR_00000301,PB.143.3
BBEAR_00000304,PB.143.4
BBEAR_00000306,PB.143.5
BBEAR_00000305,PB.143.6
BBEAR_00000303,PB.143.7
BBEAR_00002098,PB.143.8
BBEAR_00000307,PB.144.1
BBEAR_00000308,PB.145.1
BBEAR_00000309,PB.145.2
BBEAR_00002099,PB.145.3
BBEAR_00000310,PB.145.4
BBEAR_00002100,PB.145.5
BBEAR_00002101,PB.145.6
BBEAR_00002102,PB.146.1
BBEAR_00002103,PB.146.2
BBEAR_00002104,PB.146.3
BBEAR_00002105,PB.146.4
BBEAR_00000312,PB.146.5
BBEAR_00000311,PB.146.6
BBEAR_00002106,PB.146.7
BBEAR_00002107,PB.146.8
BBEAR_00000313,PB.147.1
BBEAR_00000314,PB.148.1
BBEAR_00000315,PB.149.1
BBEAR_00000316,PB.150.1
BBEAR_00000317,PB.151.1
BBEAR_00000318,PB.152.1
BBEAR_00000319,PB.153.1
BBEAR_00000320,PB.154.1
BBEAR_00000321,PB.155.1
BBEAR_00000322,PB.156.1
BBEAR_00000323,PB.157.1
BBEAR_00000324,PB.158.1
BBEAR_00000325,PB.159.1
BBEAR_00000326,PB.160.1
BBEAR_00000327,PB.161.1
BBEAR_00000328,PB.162.1
BBEAR_00002108,PB.162.2
BBEAR_00000330,PB.162.3
BBEAR_00000329,PB.162.4
BBEAR_00000331,PB.163.1
BBEAR_00002109,PB.163.2
BBEAR_00002110,PB.163.3
BBEAR_00000332,PB.164.1
BBEAR_00000333,PB.165.1
BBEAR_00000334,PB.166.1
BBEAR_00000335,PB.167.1
BBEAR_00000336,PB.168.1
BBEAR_00000337,PB.169.1
BBEAR_00000338,PB.170.1
BBEAR_00000339,PB.170.2
BBEAR_00002111,PB.171.1
BBEAR_00002112,PB.171.2
BBEAR_00002113,PB.171.3
BBEAR_00000340,PB.171.4
BBEAR_00002114,PB.171.5
BBEAR_00000341,PB.172.1
BBEAR_00000342,PB.172.2
BBEAR_00000343,PB.172.3
BBEAR_00000344,PB.172.4
BBEAR_00000345,PB.173.1
BBEAR_00000346,PB.174.1
BBEAR_00000347,PB.175.1
BBEAR_00000348,PB.176.1
BBEAR_00002115,PB.176.2
BBEAR_00000349,PB.177.1
BBEAR_00000350,PB.178.1
BBEAR_00000351,PB.179.1
BBEAR_00000352,PB.180.1
BBEAR_00000353,PB.181.1
BBEAR_00000354,PB.182.1
BBEAR_00000355,PB.183.1
BBEAR_00000356,PB.184.1
BBEAR_00000357,PB.185.1
BBEAR_00000358,PB.186.1
BBEAR_00000359,PB.186.2
BBEAR_00002116,PB.186.3
BBEAR_00000360,PB.187.1
BBEAR_00000361,PB.188.1
BBEAR_00000362,PB.189.1
BBEAR_00000363,PB.190.1
BBEAR_00000364,PB.191.1
BBEAR_00000366,PB.192.1
BBEAR_00002117,PB.192.2
BBEAR_00002118,PB.192.3
BBEAR_00002119,PB.192.4
BBEAR_00002120,PB.192.5
BBEAR_00002121,PB.192.6
BBEAR_00000365,PB.192.7
BBEAR_00000367,PB.193.1
BBEAR_00002122,PB.193.2
BBEAR_00000368,PB.194.1
BBEAR_00000369,PB.195.1
BBEAR_00000370,PB.196.1
BBEAR_00000371,PB.197.1
BBEAR_00000372,PB.198.1
BBEAR_00000374,PB.198.2
BBEAR_00000373,PB.198.3
BBEAR_00000376,PB.198.4
BBEAR_00000375,PB.198.5
BBEAR_00002123,PB.198.6
BBEAR_00000377,PB.199.1
BBEAR_00000378,PB.199.2
BBEAR_00000380,PB.199.3
BBEAR_00000379,PB.199.4
BBEAR_00000381,PB.200.1
BBEAR_00000382,PB.201.1
BBEAR_00000383,PB.202.1
BBEAR_00000384,PB.203.1
BBEAR_00000385,PB.204.1
BBEAR_00000386,PB.205.1
BBEAR_00000387,PB.206.1
BBEAR_00000388,PB.207.1
BBEAR_00000389,PB.208.1
BBEAR_00000390,PB.209.1
BBEAR_00000391,PB.209.2
BBEAR_00000392,PB.209.3
BBEAR_00002124,PB.209.4
BBEAR_00002125,PB.209.5
BBEAR_00002126,PB.209.6
BBEAR_00002127,PB.209.7
BBEAR_00000393,PB.210.1
BBEAR_00000394,PB.211.1
BBEAR_00000395,PB.212.1
BBEAR_00000396,PB.213.1
BBEAR_00000397,PB.214.1
BBEAR_00000398,PB.215.1
BBEAR_00000399,PB.216.1
BBEAR_00000400,PB.217.1
BBEAR_00000401,PB.218.1
BBEAR_00000402,PB.219.1
BBEAR_00000403,PB.220.1
BBEAR_00000404,PB.221.1
BBEAR_00000405,PB.222.1
BBEAR_00000406,PB.223.1
BBEAR_00000407,PB.224.1
BBEAR_00000408,PB.225.1
BBEAR_00002128,PB.226.1
BBEAR_00000410,PB.226.2
BBEAR_00000409,PB.226.3
BBEAR_00000412,PB.226.4
BBEAR_00000411,PB.226.5
BBEAR_00002129,PB.227.1
BBEAR_00002130,PB.227.2
BBEAR_00000413,PB.228.1
BBEAR_00000414,PB.229.1
BBEAR_00000416,PB.229.2
BBEAR_00000415,PB.229.3
BBEAR_00000417,PB.229.4
BBEAR_00000418,PB.229.5
BBEAR_00000419,PB.229.6
BBEAR_00000420,PB.229.7
BBEAR_00000421,PB.229.8
BBEAR_00000422,PB.230.1
BBEAR_00000423,PB.231.1
BBEAR_00000424,PB.232.1
BBEAR_00000425,PB.233.1
BBEAR_00000426,PB.233.2
BBEAR_00000427,PB.233.3
BBEAR_00000428,PB.234.1
BBEAR_00000429,PB.235.1
BBEAR_00000431,PB.236.1
BBEAR_00002132,PB.236.2
BBEAR_00002131,PB.236.3
BBEAR_00002133,PB.236.4
BBEAR_00000430,PB.236.5
BBEAR_00002134,PB.236.6
BBEAR_00002135,PB.236.7
BBEAR_00002136,PB.236.8
BBEAR_00002137,PB.236.9
BBEAR_00002138,PB.236.10
BBEAR_00002139,PB.237.1
BBEAR_00002140,PB.237.2
BBEAR_00002141,PB.237.3
BBEAR_00000432,PB.237.4
BBEAR_00000433,PB.238.1
BBEAR_00000437,PB.238.2
BBEAR_00000436,PB.238.3
BBEAR_00000435,PB.238.4
BBEAR_00000434,PB.238.5
BBEAR_00000438,PB.239.1
BBEAR_00000439,PB.240.1
BBEAR_00002142,PB.240.2
BBEAR_00002143,PB.240.3
BBEAR_00002144,PB.240.4
BBEAR_00002145,PB.240.5
BBEAR_00000440,PB.241.1
BBEAR_00002146,PB.241.2
BBEAR_00002147,PB.241.3
